REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.1.8.1.21.1,81000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.1.9.1.1.1,149885,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.1.9.1.2.1,2270,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.1.9.1.3.1,1000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.1.9.1.4.1,1125,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.1.9.1.5.1,1955,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.1.9.1.6.1,2630,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.1.9.1.7.1,3280,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.1.9.1.8.1,3785,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.1.9.1.9.1,4440,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.1.9.1.10.1,5090,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.1.9.1.11.1,5630,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.1.9.1.12.1,12260,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.1.9.1.13.1,13415,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.1.9.1.14.1,14025,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.1.9.1.15.1,13710,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.1.9.1.16.1,12195,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.1.9.1.17.1,53085,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.1.9.1.18.1,23100,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.1.9.1.19.1,14375,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.1.9.1.20.1,15615,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,Total - Census families by family size,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.1.9.1.21.1,83000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.2.7.1.1.1,179345,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.2.7.1.2.1,2385,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.2.7.1.3.1,1030,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.2.7.1.4.1,1280,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.2.7.1.5.1,2110,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.2.7.1.6.1,3055,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.2.7.1.7.1,3740,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.2.7.1.8.1,5600,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.2.7.1.9.1,8275,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.2.7.1.10.1,9295,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.2.7.1.11.1,9540,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.2.7.1.12.1,20920,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.2.7.1.13.1,21685,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.2.7.1.14.1,20040,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.2.7.1.15.1,17010,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.2.7.1.16.1,13465,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.2.7.1.17.1,39920,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.2.7.1.18.1,20645,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.2.7.1.19.1,9540,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.2.7.1.20.1,9730,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.2.7.1.21.1,70500,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.2.8.1.1.1,163640,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.2.8.1.2.1,1455,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.2.8.1.3.1,555,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.2.8.1.4.1,770,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.2.8.1.5.1,1195,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.2.8.1.6.1,1725,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.2.8.1.7.1,2310,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.2.8.1.8.1,4305,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.2.8.1.9.1,6855,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.2.8.1.10.1,7890,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.2.8.1.11.1,8230,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.2.8.1.12.1,19170,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.2.8.1.13.1,20570,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.2.8.1.14.1,19270,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.2.8.1.15.1,16565,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.2.8.1.16.1,13210,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.2.8.1.17.1,39575,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.2.8.1.18.1,20430,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.2.8.1.19.1,9470,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.2.8.1.20.1,9675,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.2.8.1.21.1,73500,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.2.9.1.1.1,15700,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.2.9.1.2.1,925,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.2.9.1.3.1,480,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.2.9.1.4.1,515,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.2.9.1.5.1,915,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.2.9.1.6.1,1330,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.2.9.1.7.1,1430,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.2.9.1.8.1,1300,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.2.9.1.9.1,1420,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.2.9.1.10.1,1400,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.2.9.1.11.1,1310,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.2.9.1.12.1,1755,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.2.9.1.13.1,1120,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.2.9.1.14.1,765,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.2.9.1.15.1,440,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.2.9.1.16.1,260,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.2.9.1.17.1,340,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.2.9.1.18.1,220,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.2.9.1.19.1,70,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.2.9.1.20.1,55,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,2 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.2.9.1.21.1,38400,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.3.7.1.1.1,73615,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.3.7.1.2.1,705,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.3.7.1.3.1,315,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.3.7.1.4.1,390,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.3.7.1.5.1,655,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.3.7.1.6.1,810,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.3.7.1.7.1,1285,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.3.7.1.8.1,1655,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.3.7.1.9.1,1880,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.3.7.1.10.1,2180,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.3.7.1.11.1,2555,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.3.7.1.12.1,5975,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.3.7.1.13.1,6780,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.3.7.1.14.1,6975,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.3.7.1.15.1,6855,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.3.7.1.16.1,6400,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.3.7.1.17.1,28205,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.3.7.1.18.1,12425,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.3.7.1.19.1,7555,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.3.7.1.20.1,8230,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.3.7.1.21.1,87000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.3.8.1.1.1,30505,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.3.8.1.2.1,90,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.3.8.1.3.1,35,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.3.8.1.4.1,60,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.3.8.1.5.1,75,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.3.8.1.6.1,115,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.3.8.1.7.1,155,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.3.8.1.8.1,210,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.3.8.1.9.1,280,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.3.8.1.10.1,410,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.3.8.1.11.1,500,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.3.8.1.12.1,1450,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.3.8.1.13.1,2005,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.3.8.1.14.1,2375,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.3.8.1.15.1,2785,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.3.8.1.16.1,2935,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,104.1.3.8.1.17.1,17020,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,104.1.3.8.1.18.1,6690,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,104.1.3.8.1.19.1,4630,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,104.1.3.8.1.20.1,5695,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,104.1.3.8.1.21.1,106000,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,104.1.3.9.1.1.1,43110,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,104.1.3.9.1.2.1,615,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,104.1.3.9.1.3.1,285,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,104.1.3.9.1.4.1,330,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,104.1.3.9.1.5.1,575,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,104.1.3.9.1.6.1,695,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,104.1.3.9.1.7.1,1135,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,104.1.3.9.1.8.1,1445,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,104.1.3.9.1.9.1,1605,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,104.1.3.9.1.10.1,1770,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,104.1.3.9.1.11.1,2050,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,104.1.3.9.1.12.1,4525,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,104.1.3.9.1.13.1,4770,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,104.1.3.9.1.14.1,4600,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,104.1.3.9.1.15.1,4065,,,,0
2021,Manitoba,2021A000246,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,104.1.3.9.1.16.1,3465,,,,0
